algo,sensor_count,map_n,collected_aoi,avg_final_aoi,energy_final,total_distance,visited_count
milp,25,400,444.4,25.538666666666668,29297.99354,1306.4664933333333,9.0
milp,25,600,444.3333333333333,25.552000000000003,40446.180120000005,1980.9886533333333,9.0
milp,25,800,444.3333333333333,25.546666666666667,54872.70261666667,2388.433503333333,9.0
milp,25,1000,444.4,25.538666666666668,83863.39524,3042.495933333333,9.0
milp,30,100,529.7333333333333,30.56223333333333,28257.54393,787.8269833333333,9.0
milp,30,200,529.8,30.540000000000003,28053.799170000002,1055.89341,9.0
milp,30,400,498.6,29.89111,30231.640170000002,1373.9784466666667,9.0
milp,30,600,529.7333333333333,30.579996666666666,38343.92530333333,1992.48726,9.0
milp,30,800,529.6666666666666,30.59776,54750.53577333333,2351.7596333333336,9.0
milp,30,1000,529.7333333333333,30.60443,85875.79095666666,3058.200783333333,9.0
score_greedy,5,100,87.83333333333333,13.0,30866.1449,254.2329,5.0
score_greedy,5,200,87.83333333333333,13.0,30444.8046,548.8170000000001,5.0
score_greedy,5,400,87.83333333333333,13.0,36351.9781,1250.1964,5.0
score_greedy,5,600,87.83333333333333,13.0,79440.55529999999,1855.8806,5.0
score_greedy,5,800,87.83333333333333,13.0,93565.2366,2355.5066,5.0
score_greedy,5,1000,70.13333333333334,70.1,135940.0894,2386.2744,4.0
score_greedy,10,100,177.63333333333333,10.096666666666666,30405.281233333335,378.92592666666667,9.0
score_greedy,10,200,177.63333333333333,10.096666666666666,30042.17961,698.33922,9.0
score_greedy,10,400,177.63333333333333,10.129999999999999,34602.25381333334,1329.0497833333332,9.0
score_greedy,10,600,177.63333333333333,10.096666666666666,67388.07686,2527.4226533333335,9.0
score_greedy,10,800,177.63333333333333,10.096666666666666,97764.05181,2708.695533333333,9.0
score_greedy,10,1000,123.53333333333333,96.25,93297.91778666666,2936.4257,6.9
score_greedy,15,100,268.3,15.717783333333333,30931.61186333333,290.8627366666667,9.0
score_greedy,15,200,268.3,15.333333333333334,30430.40095666667,661.35878,9.0
score_greedy,15,400,268.3,15.493333333333334,37377.85116333333,1313.3983666666668,9.0
score_greedy,15,600,268.3,15.806663333333335,51302.64408333333,2054.1947466666666,9.0
score_greedy,15,800,268.3,15.32,82794.98515000001,2248.77365,9.0
score_greedy,15,1000,228.73333333333332,53.995556666666666,103047.03153333333,3129.1504833333333,8.933333333333334
score_greedy,20,100,356.53333333333336,20.756666666666668,30965.12301,291.34623666666664,9.0
score_greedy,20,200,353.53333333333336,22.291666666666668,30550.539383333333,572.27773,9.0
score_greedy,20,400,356.96666666666664,20.795,37282.423059999994,1191.6435,9.0
score_greedy,20,600,339.26666666666665,20.48069333333333,54661.56397333334,1885.2582966666666,9.0
score_greedy,20,800,355.76666666666665,22.438333333333333,86437.50455666667,2210.659423333333,9.0
score_greedy,20,1000,304.1,59.736666666666665,92156.24085333334,2756.06538,9.0
score_greedy,25,100,444.4,27.192,31043.970083333334,272.1256466666667,9.0
score_greedy,25,200,442.4,27.62,30664.82534666667,543.4066566666667,9.0
score_greedy,25,400,444.1666666666667,26.622666666666664,36659.33606,1127.9130033333333,9.0
score_greedy,25,600,442.2,27.348000000000003,53955.29522666666,1749.2005866666666,9.0
score_greedy,25,800,441.2,28.22533333333333,79968.65643333334,2023.68507,9.0
score_greedy,25,1000,372.6,67.432,91798.55138,2597.8522233333333,8.966666666666667
score_greedy,30,100,526.8,33.96999666666667,31126.202820000002,258.06593,9.0
score_greedy,30,200,523.9333333333333,34.06111,30675.667793333334,537.6778066666667,9.0
score_greedy,30,400,529.5,32.43778,36513.871003333334,1096.3421433333335,9.0
score_greedy,30,600,527.7,32.66445,49670.232180000006,1552.0680066666666,9.0
score_greedy,30,800,522.8666666666667,36.73444,77971.35028333333,1907.8953033333335,9.0
score_greedy,30,1000,444.03333333333336,72.10222,100479.48013999999,2578.4068899999997,9.0
